text,insult,threat,identity_hate,gender,religion,ethnicity
You're a disgrace to your community. Believing that makes you delusional. You're not welcome in our country.,0,0,1,0,1,1
You're a typical [ethnicity] stereotype. Real men don't cry like that.,0,0,0,1,0,1
Your existence is a stain on society. You're going to get hurt real bad. That's typical behavior for a girl.,0,1,1,1,0,0
You're not welcome in our country. You're the worst kind of human.,0,0,1,0,0,1
fool,1,0,0,0,0,0
wetback,0,0,0,0,0,1
Nobody wants you around because you're useless.,1,0,0,0,0,0
Everything you say is pure nonsense. She should know her place. You're not welcome in our country.,1,0,0,1,0,1
Your skin color says it all. He's acting like such a sissy. heretic,0,0,0,1,1,1
"Just wait, I’ll come after you. You're brainwashed by your faith. Hope you're having a great day!",0,1,0,0,1,0
"Watch your back, you'll get what's coming. Nobody wants you around because you're useless.",1,1,0,0,0,0
scum Go back to where you came from.,0,0,1,0,0,1
pagan,0,0,0,0,1,0
You're not welcome in our country. sissy,0,0,0,1,0,1
People of your kind are always like this. People from your religion are evil. That's typical behavior for a girl.,0,0,0,1,1,1
"Watch your back, you'll get what's coming. Your skin color says it all. peace",0,1,0,0,0,1
What a beautiful sunset it was today.,0,0,0,0,0,0
sunshine,0,0,0,0,0,0
He's acting like such a sissy.,0,0,0,1,0,0
Nobody wants you around because you're useless. She should know her place. You're brainwashed by your faith.,1,0,0,1,1,0
That's typical behavior for a girl.,0,0,0,1,0,0
"Just wait, I’ll come after you. Women can't do anything right. wetback",0,1,0,1,0,1
Your existence is a stain on society. You're brainwashed by your faith.,0,0,1,0,1,0
Your skin color says it all. The weather is so pleasant. Why are you even talking? You're a joke.,1,0,0,0,0,1
You're the worst kind of human.,0,0,1,0,0,0
Your existence is a stain on society.,0,0,1,0,0,0
heretic,0,0,0,0,1,0
"Women can't do anything right. Watch your back, you'll get what's coming. infidel",0,1,1,1,1,0
wetback,0,0,0,0,0,1
Your god isn't real.,0,0,0,0,1,0
You're the worst kind of human.,0,0,1,0,0,0
You're the worst kind of human. whore,0,0,1,1,0,0
beautiful,0,0,0,0,0,0
That's typical behavior for a girl. You're not welcome in our country. You're not one of us.,0,0,1,1,0,1
People like you shouldn't even exist. foreigner,0,0,1,0,0,1
Everything you say is pure nonsense.,1,0,0,0,0,0
